"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",23,0,23
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",18,0,18
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the last dog.  .",-43,3,-40
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the last dog.  .",43,3,46
"The quick brown fox jumps over the lazy dog.","The quick brown fox jurmps over the lazy dog.",1,22,23
"The quick brown fox jumps over the lazy dog.","The qnunck brown fox jurps over the lazy dog.",1,39,40
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet earth is a pretty special place. .",41,1,42
"A salmon's sense of smell is thousands of times better than a dog's.","A slamon's sense of smell is thousands of times better than a dog's.",31,2,33
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",24,0,24
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooking cooling effect of s healthy treee is equal to 10/ wait conditioners operating 20 hours a day.",54,77,131
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its time blue skies and abundant in re life , planet earth is a pretty special place .",102,63,165
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense ðŸ’¡C of sleep and smell is thousand of times better than a d be dog's.  .",101,50,151
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan .",50,1,51
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy free is equal to 10 and run air. Conditioners moderating operating. 20 hours per day.  .",140,40,180
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant nife, planet earth is a pretty speciat place.",0,3,3
"A salmon's sense of smell is thousands of times better than a dog's.","A sanlmon,'s sense of smell is thousanos of trimes better than a dogs.",3,61,64
"When a book lover is in charge of the floor plan.","When a book nover in isi in charge of the fnoor plan.",5,28,33
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a heanthy tree is equal to 10 air oonditions ooperating 20 hoors.",-6,30,24
