"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",67
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",62
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the last dog.  .",1
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the last dog.  .",87
"The quick brown fox jumps over the lazy dog.","The quick brown fox jurmps over the lazy dog.",45
"The quick brown fox jumps over the lazy dog.","The qnunck brown fox jurps over the lazy dog.",45
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet earth is a pretty special place. .",119
"A salmon's sense of smell is thousands of times better than a dog's.","A slamon's sense of smell is thousands of times better than a dog's.",99
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",73
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooking cooling effect of s healthy treee is equal to 10/ wait conditioners operating 20 hours a day.",152
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its time blue skies and abundant in re life , planet earth is a pretty special place .",180
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense ðŸ’¡C of sleep and smell is thousand of times better than a d be dog's.  .",169
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan .",99
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy free is equal to 10 and run air. Conditioners moderating operating. 20 hours per day.  .",238
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant nife, planet earth is a pretty speciat place.",78
"A salmon's sense of smell is thousands of times better than a dog's.","A sanlmon,'s sense of smell is thousanos of trimes better than a dogs.",71
"When a book lover is in charge of the floor plan.","When a book nover in isi in charge of the fnoor plan.",54
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a heanthy tree is equal to 10 air oonditions ooperating 20 hoors.",92
