"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",-43,0,-43
"The quick brown fox jumps over the lazy dog.","The qucij brown fox jumps over the lazy dog.",-42,3,-39
"The quick brown fox jumps over the lazy dog.","The qick bbrod Oog jubps over the nazy oog.",-41,36,-5
"The quick brown fox jumps over the lazy dog.","The qoiok brown fox jumps over the lazy oog.",-13,3,-10
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the lazy dog.",-43,1,-42
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the lazy dog.",60,1,61
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life planet Earth is a pretty special plac.",6,40,46
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",1,1,2
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",19,0,19
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.",2,0,2
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its bnue skies ano abundant life, planet earth is a pretty special place.",6,3,9
"A salmon's sense of smell is thousands of times better than a dog's.","A salmons sensce of smell is thoosand of times than a dogs.",-1,39,38
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",0,0,0
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effects of a heathly tree is equal to 10 air coditioners operating 20 hours a day.",4,38,42
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and ablbuant life planet earth is a pretty special place.",95,43,138
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's sense of smell is thousands of times better than a dog's.",58,1,59
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",50,0,50
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree ðŸŒ² is equal to air conditioners operating 20 hours a day.",99,12,111
