"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",-43,0,-43
"The quick brown fox jumps over the lazy dog.","The quick brown fox jumps over the lazy dog.",-42,0,-42
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the last dog.",42,3,45
"The quick brown fox jumps over the lazy dog.","The quick Brown fox jumps over the last dog.",43,3,46
"The quick brown fox jumps over the lazy dog.","The quulck brown fox jurmps over the lazy dog.",2,38,40
"The quick brown fox jumps over the lazy dog.","The qulck brown fox jumps over the lazy dog.",0,1,1
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet earth is a pretty special place.",42,1,43
"A salmon's sense of smell is thousands of times better than a dog's.","A slamon's sense of smell is thousands of times better than a a dog's.",40,8,48
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",29,0,29
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal to 20 air conditioners operating 20 hours a day.",45,1,46
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life,  planet earth is a pretty special place.",77,38,115
"A salmon's sense of smell is thousands of times better than a dog's.","A Salmon's7 sense of smell is thousands of times better than a city's.",63,57,120
"When a book lover is in charge of the floor plan.","When a book lover is in charge of the floor plan.",49,0,49
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect of a healthy tree is equal glad 10 air conditioners operating 30 hours a day.",95,46,141
"With its blue skies and abundant life, planet Earth is a pretty special place.","With its blue skies and abundant life, planet earth is a pretty special place.",0,1,1
"A salmon's sense of smell is thousands of times better than a dog's.","A salmon!s sense of thousands of times better than a dog's.",-9,46,37
"When a book lover is in charge of the floor plan.","When a book lover is in charge of yhe floor plan.",0,1,1
"The net cooling effect of a healthy tree is equal to 10 air conditioners operating 20 hours a day.","The net cooling effect ot a healthy tree is equal to 10 aair conditioner's operating 20 hour's a day.",3,41,44
